prompt,generated_text,generation_time
a part . It bears the,same time.,0.6918389797210693
"11 , but lost in another",.,0.6848549842834473
the JMA upgraded the depression,", and the same time.",0.6908292770385742
"Herbert , and worked to",the same time.,0.67533278465271
"1916 volumes , making him the",same time.,0.6870424747467041
". <unk> , <",div>,0.6877954006195068
Turret No. 5 that,the same time.,0.6789343357086182
"Armour ( shoes ) , Muscle","Shoals, and the same time.",0.673222541809082
be needed came on the morning,", and the same time.",0.6640169620513916
"when dipped in water , will",be a new to the same time.,0.6717243194580078
similar species . <unk>,,0.6718556880950928
"game on April 4 , 2011",", and the same time.",0.6646361351013184
to the state of New York,", and the same time.",0.6703121662139893
became Nero 's mistress in,the same time.,0.6713926792144775
Citizens Defence Association ( <unk,", and the same time.",0.6694085597991943
at the stern . It over,the same time.,0.6712501049041748
. <unk> was later,", and the same time.",0.6692359447479248
archaeological exploration of La Venta,),0.6695168018341064
metres to the west of Monument,", and the same time.",0.6709744930267334
in ' A ' Squadron were,not be a new to the same time.,0.6648268699645996
"27 October , Ozawa transferred",to the same time.,0.6679337024688721
difficult because of the movement of,the same time.,0.6662797927856445
", and <unk> in",the same time.,0.6625156402587891
were based on Walt Disney cartoon,"ist, and the same time.",0.6601054668426514
shellfire against ironclads,_1.,0.6632175445556641
", and with the largest set",of the same time.,0.661341667175293
career with Crewe Alexandra ',\mathcal{},0.6622147560119629
city serves as the base for,the same time.,0.6641051769256592
@ ni and then turned northeast,of the same time.,0.6625881195068359
earthquakes of the 18th and,the same time.,0.6655311584472656
Citizen science site Cyclone Center,for the same time.,0.670982837677002
", it 's about an",important to the same time.,0.662153959274292
was sold to Bulgaria in May,", and the same time.",0.6623680591583252
which included the fitting of an,important to the same time.,0.6610512733459473
"= In late May , an",important to the same time.,0.660283088684082
weight with a higher rate of,the same time.,0.6624014377593994
the song 's music video,", and the same time.",0.6692249774932861
regular and intensive repairs than wooden,spoon.,0.6681833267211914
"to organize , and the next",to the same time.,0.6628563404083252
"August 2012 , after Coleman had",been a new to the same time.,0.6594908237457275
were addressed variously as <,div>,0.6655220985412598
"against Angle , Haas , and",the same time.,0.6635375022888184
Winthrop House 's buildings,", and the same time.",0.6616654396057129
View ( <unk> ),,0.666705846786499
by community activists for the first,time.,0.666856050491333
the Prince of Wales serving as,a new to the same time.,0.6612305641174316
"of swamp and jungle , and",the same time.,0.661395788192749
's view of Angela —,||,0.6614525318145752
"Fight Club , Bringing Out the",same time.,0.664604663848877
"education since the colonial period ,",", , , , , , , , , ,",0.6612710952758789
in the early 1970s .,. . . . . . . . . .,0.6586935520172119
perhaps the drink helped me to,the same time.,0.6624712944030762
as an actor and a singer,"-type=""fig""}).",0.6592175960540771
"focuses on Ezra Greer ,",", , , , , , , , , ,",0.6590278148651123
to become the commander of a,new to the same time.,0.6607530117034912
Dürenstein and <,div>,0.6623778343200684
"goal , Kershaw pledged a",new to the same time.,0.6638233661651611
athletes — one man ( 30,", and the same time.",0.6595790386199951
Greek clothing was old fashioned .,. . . . . . . . . .,0.6583576202392578
in 1808 in a backlash,.,0.6637685298919678
s younger brother . His father,", and the same time.",0.659005880355835
", where his representative , Andrew",'s a new to the same time.,0.6593799591064453
ña ) = = = Kro,ger.,0.6604690551757812
– 87 miles per hour (,1.,0.6617474555969238
", and ' C ' Squadron",", and the same time.",0.6592683792114258
", but when he went for",the same time.,0.6614415645599365
total thickness of 140 mm .,. . . . . . . . . .,0.6584196090698242
epithet of Chinese critics is,a new to the same time.,0.6599016189575195
repertoire includes a four @-,"type=""fig""}).",0.6623542308807373
"the legislature relented , eventually",", and the same time.",0.6567833423614502
studies of temnospond,ition of the same time.,0.6557133197784424
"> College , established in November",", and the same time.",0.662172794342041
sense of loyalty to the de,"la Commission, and the same time.",0.658393144607544
unk> who slandered,saline (1.,0.6521070003509521
"CD single "" Kiss You """,The present invention relates to the same time.,0.6534104347229004
"is still evident , a feature",of the same time.,0.6568417549133301
originally used a Spanish villa,),0.6609790325164795
= North Korean crossing = =,-1.,0.6584274768829346
Butler completed an 18 – 0,.,0.6592168807983398
@-@ 5 were transferred,to the same time.,0.6588277816772461
res <unk> . Under,the same time.,0.6622648239135742
next faced off with thir,.,0.6613755226135254
""" ) . The Duplex","us, and the same time.",0.6576600074768066
SportsCenter that he had re,"-type=""fig""}).",0.658785343170166
advisories differ from the Joint,Committee of the same time.,0.6570417881011963
engines could give her a speed,of the same time.,0.6585657596588135
"of the March 29 , 1976",", and the same time.",0.6588342189788818
"rank , race or creed .",. . . . . . . . . .,0.6646881103515625
embarked on a world tour to,the same time.,0.670090913772583
. Then he goes to the,same time.,0.6635208129882812
under government franchise . The city,of the same time.,0.6642470359802246
2012 as a three @-,"type=""fig""}).",0.6630415916442871
US Navy to join in the,same time.,0.6658098697662354
decision to renew relations with the,same time.,0.6634490489959717
"was the simpler and , during",the same time.,0.6620347499847412
Rizal Park . R,.,0.6665403842926025
estanding four @-@,B.,0.6664128303527832
N to realize that battleships,", and the same time.",0.6670446395874023
"more difficult , but not impossible",to the same time.,0.6694927215576172
of Somali President Siad Bar,"row, and the same time.",0.6641244888305664
